enrolldt,price,downpmt,monthdue,pmttype,use,age,gender,default
20190101,1830.234,210,6,CreditCard,1,0,0,0
20190101,1296.666,1296.666,6,Cash,0,0,0,0
20190101,930.4428,105,5,Cash,0,0,0,0
20190102,798.3696,199.5924,9,DirectDebit,0,0,1,0
20190103,1206.24,210,9,Cheque,0,0,0,0
20190104,1048.32,126,12,Cash,0,0,1,0
20190105,209.16,209.16,8,Cash,0,0,0,0
20190105,764.2236,294,13,DirectDebit,1,0,0,0
20190106,1408.68,105,10,Cash,0,0,0,1
20190106,1548.96,1548.96,9,Cash,7,0,1,0
20190108,990.36,38.64,10,Cash,0,0,0,1
20190108,221.97,221.97,6,Cash,3,0,0,0
20190110,703.92,25.2,20,Cash,0,0,0,0
20190117,368.76,368.76,9,Cash,0,0,0,0
20190118,725.6256,725.6256,9,Cash,1,0,1,0
20190119,1257.48,1257.48,6,DirectDebit,0,0,0,0
20190120,989.52,210,2.75,Cash,0,0,0,1
20190120,1569.456,1569.456,6,Cash,0,0,1,0
20190121,930.72,42,5.5,Cash,7,0,1,0
20190123,1031.52,1031.52,6,Cash,0,0,1,0
20190123,1591.8,1591.8,6,Cash,0,0,0,0
20190125,863.52,863.52,7.5,Cash,8,0,1,0
20190128,503.16,21.84,5.5,Cash,0,0,1,1
20190130,743.694,743.694,6,Cash,0,0,0,0
20190131,1408.68,168,10,DirectDebit,0,0,0,0
20190201,1116.6204,31.08,5.5,DirectDebit,0,0,1,0
20190202,1024.1532,1024.1532,6,Cash,0,0,1,0
20190203,288.96,288.96,10,Cash,0,0,0,0
20190203,930.72,63,5.5,CreditCard,4,0,0,0
20190203,964.32,964.32,6,Cash,0,0,1,0
20190204,344.6268,176.6268,10,Cash,0,0,1,0
20190204,503.16,42,2.75,DirectDebit,0,0,1,0
20190204,679.56,679.56,10,Cash,0,0,0,0
20190204,1031.52,84,8.5,CreditCard,7,0,0,0
20190205,1031.52,25.2,8.5,Cash,0,0,1,0
20190205,888.72,630,4.5,CreditCard,0,0,0,0
20190206,988.89,147,5.5,Cash,0,0,0,0
20190207,444.6456,444.6456,8,Cash,0,0,0,0
20190209,721.56,42,5.5,Cash,7,0,1,0
20190210,0,0,16,Cash,0,0,0,0
20190211,444.6456,444.6456,10,Cash,1,0,1,0
20190212,0,0,11,Cash,0,0,0,0
20190213,1001.28,147,15,DirectDebit,0,0,0,0
20190214,1652.28,1652.28,10,Cash,0,0,0,0
20190215,131.04,131.04,8,Cash,0,0,0,0
20190221,1374.1056,105,11,Cash,0,0,0,1
20190221,1048.32,63,12,CreditCard,0,0,0,0
20190221,1787.5788,210,2.75,DirectDebit,1,0,0,0
20190222,1115.52,147,10,Cash,0,0,0,0
20190222,1006.32,126,8.5,Cash,0,0,0,0
20190222,996.8868,105,5.5,CreditCard,1,0,0,0
20190222,1292.4828,168,2.75,CreditCard,0,0,1,0
20190222,1659,1659,6,Cash,0,0,0,0
20190223,0,0,10,Cash,0,0,1,0
20190224,1001.2716,63,10,CreditCard,0,0,0,0
20190224,2448.558,2448.558,7,Cash,0,0,0,0
20190226,1199.52,21,10,Cash,0,0,0,1
20190226,360.36,360.36,10,Cash,4,0,0,0
20190227,167.16,167.16,10,Cash,0,0,1,0
20190227,1089.4716,1089.4716,6,Cash,0,0,0,0
20190228,1106.3052,126,2.75,Cash,7,0,1,0
20190301,1157.52,147,2.75,CreditCard,1,0,1,0
20190301,503.16,84,2.75,Cash,4,0,1,0
20190301,721.56,28.56,5.5,CreditCard,1,0,0,0
20190302,1298.4804,168,2.75,DirectDebit,0,0,1,0
20190302,180.9528,180.9528,9,Cash,1,0,0,0
20190302,1031.52,63,2.75,CreditCard,0,0,1,0
20190303,990.36,42,10,Cash,0,0,1,1
20190304,544.6728,21,5.96,Cash,0,0,0,1
20190304,0,0,11,Cash,1,0,0,0
20190305,2144.1336,126,4.46,Cash,0,0,0,1
20190305,1519.5516,504,1.45,DirectDebit,0,0,0,0
20190305,1617.84,126,10,CreditCard,0,0,1,0
20190310,774.48,168,2.75,DirectDebit,6,0,0,0
20190310,1173.48,189,2.75,DirectDebit,1,0,1,0
20190310,544.6728,544.6728,15,Cash,4,0,0,0
20190315,964.32,231,9,DirectDebit,5,0,0,0
20190316,1055.88,84,5.5,CreditCard,0,0,0,0
20190316,1031.52,42,5.5,Cheque,1,0,0,0
20190318,964.32,168,6,DirectDebit,0,0,1,0
20190320,1067.1192,42.84,5.93,Cash,0,0,1,1
20190320,846.7116,42,14,Cash,1,0,0,0
20190321,1089.48,1089.48,6,Cash,0,0,0,0
20190324,1253.0196,147,2.75,Cash,0,0,1,0
20190327,503.16,4.2,5.5,Cash,0,0,1,0
20190327,1093.1508,1093.1508,6,Cash,1,0,1,0
20190327,1157.52,1157.52,7,Cash,1,0,1,0
20190328,254.436,84,9,Cash,0,0,0,1
20190328,957.6,126,4.46,Cash,0,0,0,0
20190328,719.712,84,4.12,Cash,1,0,1,0
20190329,938.3976,231,1.48,CreditCard,0,0,0,0
20190402,1076.04,1076.04,6,Cash,1,0,0,0
20190403,194.1828,194.1828,10,Cash,0,0,0,0
20190404,1025.6904,105,2.75,CreditCard,0,0,0,0
20190404,1279.8324,84,5.5,CreditCard,0,0,1,0
20190405,1097.88,1097.88,8.5,Cash,0,0,0,0
20190407,173.376,173.376,10,Cash,0,0,0,0
20190408,1008.1848,1008.1848,9.5,Cash,0,0,0,0
20190409,1048.4208,63,2.75,CreditCard,5,0,1,0
20190409,1006.32,42,5.5,Cheque,0,0,0,0
20190410,990.36,21,10,Cash,0,0,0,0
20190412,2010.12,1005.06,6,DirectDebit,0,0,1,0
20190414,393.96,15.96,2.75,CreditCard,1,0,0,0
20190415,444.6456,222.3228,8,CreditCard,6,0,1,0
20190418,1199.52,42,5.5,Cash,0,0,1,0
20190418,1366.68,252,10,CreditCard,0,0,0,0
20190418,209.16,209.16,6,Cash,6,0,0,0
20190419,657.9636,657.9636,10.5,Cash,6,0,1,0
20190419,180.9528,180.9528,10,Cash,1,0,1,0
20190420,1451.2092,420,2.75,CreditCard,0,0,0,0
20190420,444.6456,444.6456,8,Cash,0,0,0,0
20190422,1199.52,84,10,Cash,1,0,0,0
20190422,180.9528,180.9528,8,Cash,0,0,0,0
20190422,1298.4804,126,2.75,Cheque,0,0,1,0
20190423,1115.52,126,2.75,Cheque,0,0,0,0
20190423,996.8868,147,2.75,CreditCard,4,0,0,0
20190423,1408.68,252,10,DirectDebit,0,0,1,0
20190424,1298.64,1298.64,6,Cash,0,0,1,0
20190428,1199.52,84,10,Cash,0,0,0,1
20190428,1046.9928,63,2.75,Cash,1,0,0,0
20190428,577.0716,84,2.75,Cash,3,0,0,0
20190428,1199.52,42,10,Cheque,1,0,0,0
20190429,1382.64,357,2.75,Cash,0,0,1,0
20190430,393.96,15.96,2.75,CreditCard,0,0,0,0
20190430,1265.0316,1265.0316,7,Cash,3,0,0,0
20190430,1025.64,854.7,8.5,Cash,0,0,1,0
20190430,1027.8408,63,11,DirectDebit,0,0,1,0
20190430,461.16,461.16,10.5,Cash,5,0,1,0
20190430,503.16,8.4,5.5,Cheque,0,0,0,0
20190501,1980.72,84,10,Cash,0,0,1,1
20190501,1020.9528,1020.9528,6,Cash,0,0,1,0
20190501,1365.84,210,8.5,Cash,3,0,0,0
20190503,180.9528,180.9528,8,Cash,0,0,1,0
20190507,390.9612,84,13,Cash,0,0,0,0
20190507,993.72,54.6,5.5,CreditCard,1,0,0,0
20190508,1298.4804,42,5.96,Cash,0,0,1,1
20190508,938.3892,84,11,Cash,0,0,0,0
20190508,503.16,21,5.5,Cash,1,0,0,0
20190509,1005.48,42.84,9,Cash,3,0,0,0
20190509,410.76,410.76,8.5,Cash,6,0,0,0
20190510,1298.4804,59.64,5.96,Cash,0,0,0,1
20190510,1443.12,8.4,12,Cash,0,0,1,1
20190510,194.1828,97.0956,10,Cash,6,0,1,0
20190511,225.96,147,10.5,CreditCard,0,0,1,0
20190511,444.6456,444.6456,6,Cash,6,0,0,0
20190512,410.76,168,8.5,DirectDebit,1,0,0,0
20190512,1025.64,1025.64,8.5,Cash,0,0,1,0
20190512,1031.52,105,8.5,Cheque,1,0,1,0
20190512,962.0436,84,5.5,Cheque,3,0,0,0
20190513,1156.68,1156.68,6,Cash,0,0,1,0
20190513,461.16,126,5.5,CreditCard,0,0,0,0
20190514,271.8828,271.8828,10.5,Cash,1,0,0,0
20190515,1031.52,147,8.5,Cash,0,0,0,0
